job_title,job_description,education_requirement,experience_level,tech_requirements,soft_skills,project_experience,domain_knowledge,certifications
engine control engineer,"about the job
about
netcom group

founded in 2006, netcom group spa is an italian consulting firm that provides advanced and innovative engineering services the group was born as a natural evolution in a meeting of various entrepreneurial experiences this result was achieved thanks to an efficient team of engineers who conceived brilliant and innovative ideas, ranging from the telecommunications market to the media, transport, finance, public administration, and defense avionics systems
netcom group spa is an undisputed leader in testing automation, software validation, and useful models for customized solutions the group has more than 1000 professionals working throughout italy and abroad with customers who are the most important world players such as ferrari, lamborghini, the fca group, sky italia, vodafone, h3g, huawei, luxottica, banca intesa, generali, allianz, comdata, and engineering
as a fastgrowing reality, netcom group spa is rapidly expanding in turkey, and is currently looking for brilliant engineers to join our automotive consulting team for innovative and new generation technology projects
we are looking for an
engine control engineer
for our branch in turkey
main activities
responsible for new functions development and enhancements to existing engine control algorithms
development of control and diagnostic algorithms related to engine and powertrain applications
carry out the relevant project activities that should be done in the control and calibration systems in order to adapt the engine and transmission types to be used and  or offered for sale in existing  new projects to the conditions of the country
create technical solutions for the resolution of quality defects related to the engine, engine control and transmission organs detected in existing  new models and to carry out development activities related to their commissioning
development of engine, aftertreatment, transmission, and vehicle calibration for gasoline, diesel, and hybrid vehicles
development of electric vehicle calibration vcu, bms, mcu, etc
execution of appropriate test plans and data analysis
requirements
bachelormaster degree in electrical and electronics, mechatronichs, control and automation engineering
strong background in
internal combustion engine
working principle of ice, partssystems, combustion, ignition, turbocharger, timing , aftertreatment, transmission and vehicle fundamentals
deep knowledge regarding
control systems theory
competent of
matlabsimulink
good knowledge of ati vision, etas inca, and vector tools
understanding of control unit ecu, tcu, dcu, etc strategy calibration principles
advanced
english
level
location turkey  remote working",bachelor,senior,"internal combustion engine fundamentals, control systems theory, matlab, simulink, ati vision, etas inca, vector tools, ecu, tcu, dcu calibration","problemsolving, analytical thinking, communication, remote collaboration, adaptability","engine control algorithm development, engine and transmission calibration, electric vehicle calibration vcu, bms, mcu, diagnostic and control algorithm development, data analysis, quality improvement projects","automotive, engine control systems, powertrain applications, electric and hybrid vehicle systems, calibration techniques, combustion and aftertreatment systems",
senior automation qa c engineer,"about the job
project description
a desktop application for seismic interpretation using c, c and react
work supposes close cooperation with customer team located in uk and following agile principles
responsibilities
the candidate should be able to write, design, and execute automated tests according to the agilescrum process
communication with client stakeholders and local team
skills
must have
experience working with complex scientific or technical software
experience with testing web services
experience with docker
experience with postman
experience with testing windows desktop applications
experience working with issue management software such as azure devopsjira etc
nice to have
knowledge of geology or seismic
knowledge in c programming language
good experience with git
experience with swagger
experience with selenium or other automation tool
experience working in an agile environment
other
languages
english b2 upper intermediate
seniority
senior",,senior,"c, react, docker, postman, azure devops, jira, swagger, selenium, git, web services testing, desktop application testing","communication, teamwork, agile mindset","automated testing of desktop and web applications, agile project participation, collaboration with international client teams","scientifictechnical software, geology, seismic interpretation",
senior automation qa engineer,"about the job
job title
senior automation qa engineer
contract type
time type
full time
job description
automation qa engineer is needed to create and maintain the automation test scope in order to test and write automation tests for blackstar
principle accountabilities
createeditmaintain tests the existing automation suite in ranorex platform
work using agile methodologies
track bugs in the system azure devops
write custom c methods to extend automation platform capabilities
prepare and execute test cases before the release based on test plan
improve the existing regressionsanitysmoke test pack by constantly addingeditingdeleting test cases
writing and maintaining sql scripts to retrieve db values and compare them
attend daily standups, weekly qa overview and other stream related meetings
profile

bachelormasters degree in information technology  computer science, software development 
5 years testingqa experience
proven experience in automation testing
experience of using taskbug tracking software  preferably microsoft azure devops
experience working with databases eg, sql
strong understanding of existing test automation frameworks  preferably ranorex 
ability to analyze and interpret test results
fluent english in both verbal and written communication
process oriented person, who can manage a large number of test cases
experience to work in multinational, cross platform teams
excellent analytics and problem solving skills
experience in c is a plus
being istqb certified is a plus
experience in the finance or trading fields is preferred
if you think the open position you see is right for you, we encourage you to apply
our people make all the difference in our success",bachelor,senior,"ranorex, azure devops, sql, c, test automation frameworks, automation testing, test case management","analytical thinking, problem solving, verbal and written communication, process orientation, teamwork, crossplatform collaboration","automation testing, regressionsanitysmoke test suite management, sqlbased db validation, working in agile teams, testing financetrading applications","finance, trading, qa methodologies",istqb preferred
sales engineer  robotics ,"about the job
sales engineer  robotics 
at abb, we are dedicated to addressing global challenges our core values care, courage, curiosity, and collaboration  combined with a focus on diversity, inclusion, and equal opportunities  are key drivers in our aim to empower everyone to create sustainable solutions
thats our story make it your story
this position reports to
sales manager
your role and responsibilities
in this role as sales engineer for robotics, you will take charge of selling abbs cuttingedge robots across the central anatolia region your primary focus will be on engaging with a diverse range of customers, from small and medium enterprises to regional global players, to drive business opportunities in the growing field of industrial robotics we are looking for someone with an entrepreneurial mindset, a passion for sales, and a handson approach to identifying and pursuing market opportunities
driving sales volume and margin across the abb robotics portfolio while establishing and maintaining strong customer relationships through excellent service and a deep understanding of customer needs and abb solutions,
preparing sales plans and bids, managing key accounts particularly in the general industry, and providing customers with tailored products, solutions, and services that align with volume, mix, and profitability targets,
identifying and developing new market opportunities, monitoring customer and market trends, and collaborating with the marketing team to create effective marketing activities,
contributing to expand the partner network, ensuring efficient coordination of sales activities and transactions, and analyzing data to meet business objectives
qualifications for the role
you are skilled in working with crm tools such as sap and salesforce, with expertise in the collaborative robotics market,
you possess enhanced knowledge of customer relationshipbuilding methodologies and are proficient in analyzing market trends and competitor activities,
you are passionate about customerfocused problemsolving and innovative thinking, paired with strong organizational skills,
degree in engineering, robotics or equivalent professional experience in a technical environment,
preferably 2 years experience in sales related roles,
you are at ease communicating fluently in both english and turkish, ensuring clear and effective interactions,
willingness to travel, balancing onsite collaboration with virtual engagement to optimize customer relationships
more about us
we value people from different backgrounds could this be your story apply today or visit wwwabbcom to read more about us and learn about the impact of our solutions across the globe myabbstory",bachelor,junior,"crm tools sap, salesforce, robotics, collaborative robotics, sales planning, key account management","customer relationship building, problem solving, innovative thinking, organizational skills, communication, entrepreneurship","sales planning and bidding, partner network expansion, customer engagement, market opportunity identification, technical sales in robotics","industrial robotics, collaborative robotics, general industry sales",
process control  automation engineer  relocation to saudi arabia,"about the job
job req id
16170
description
job description
we are seeking a process control  automation engineer join our process automation  systems division under our process and control systems department
process and control systems department provides services in the field of process engineering, automation, new energy and digitalization to various entities within aramco
as a process control  automation engineer your role will be utilize your experience in automation systems design, installation and commissioning for oil  gas facilities provide professional advice regarding operational processes, equipment, technology, facility design and solutions to operational and maintenance issues
key responsibilities
as a successful candidate you will be required to perform the following
implementation of safety instrumented system sis, supervisory control and data acquisition scada, distributed control system dcs, turbo machinery control
execute process control for hydrocarbon, gas plants, ngl fractionation plants, refineries, petrochemicals plants, pipelines and distribution facilities
originate and carry out engineering studies to determine optimal solutions to complex technical problems, increase revenue, reduce cost and improve process safety
participates in and provide technical expertise for process safety reviews such as hazop studies, sil analysis and qualitative risk assessments
performs cost analyses and value engineering studies to recommend costeffective solutions to technical issues
reviews and evaluates capabilities of vendors and contractors to determine their acceptability to perform major services to saudi aramco acts a company representative in technical dealings with vendors, manufactures and design firms
develop and maintain engineering standards, material specifications, procedures and best practices to enhance company profitability, safety and productivity
evaluate and introduce best practices and new technologies to enable to company to achieve best in class performance in oil and gas business
conduct seminars and technical exchange meetings to promote new technologies and best practices to personnel from other engineering organizations and facilities
minimum requirements
as a successful candidate you will hold a
bachelor degree in engineering preferably in chemical or electrical engineering a masters degree or phd is desired but not required
minimum fifteen 15 years of professional experience as an engineer in charge of technical work and in field of specialty
experience with the latest technologies in the automation field with knowledge in dcs or sis systems
have participated as lead engineer in major automation system project and conducted commissioning and startup activities
previous work with a major international oil  gas company andor previous employment with one of the automation system suppliers used by company
previous participation in hazop and  or sil analysis studies for oil  gas facilities
design and implementation of different control schemes boiler control, motor control, burner management, compressor control
experience with process automation network switches, routers and domain management and different communication protocols used in process automation field
experience with turbine and compressor control applications and their control systems
countryregion
sa",bachelor,senior,"dcs, sis, scada, turbo machinery control, hazop, sil analysis, process automation networks, industrial communication protocols, turbinecompressor control, plc systems, burner management, motorboiler control, switches, routers, domain management","technical leadership, risk assessment, vendor management, presentation, crossfunctional collaboration, technical documentation, problemsolving","major automation system projects, commissioning and startup activities, cost analysis and value engineering, development of engineering standards and best practices","oil and gas, gas plants, ngl fractionation, refineries, petrochemicals, pipelines, process safety",
avionic indicator and control systems design engineer,"about the job
aselsan avionics and guidance systems ags will add strength to our activities in akyurt campus within the sector
from the departments of the universities electricalelectronics or electronicfabrication engineering
graduate
avionic indicator and control systems design engineer
we are looking for colleagues
the most important competencies and experiences in this position
in numerical communication interfaces rs422, rs485, rs232, milstd1553, arinc429, ethernet, usb, discrete io, etc
electrical video transmission standards dvi, hdmi, display port, 424m292m, etc
willing to learn and improve itself in hardware and system development,
informed or willing to improve self improvement in indicators and control panels
preferably at least 3 years of experience in the field of avionic system architectures,
preferably doors and so on requirement has experience in the use of management tools,
preferably information about military standards milstd810, milstd461, etc and civil standards do160, do254, etc,
willing to work on air platforms
what do we expect from you
the design and integration of the cockpit indicator and control systems found in fixed wing and rotary winged manned aircraft,
during the product life cycle, studies with different disciplines,
creation of management of requirements for related designs and system engineering document sets,
actively involved in test activities, finding management and maintenance activities at the system and unit level,
providing participation and support for in department training, technical information sharing activities,
domestic and international platform review, problem analysis and so on participation in field duties and studies
fill our job application form by examining our recruitment criteria from the field of recruitment on our career tab on our aselsan website as part of the aselsan family, let your signature in our success in domestic and national projects
who are we
we are a global brand that adds value to our country and our users around the world with our growth targets with the worlds best products in the world, the development of game changing technologies and export oriented growth targets",bachelor,mid,"rs422, rs485, rs232, milstd1553, arinc429, ethernet, usb, discrete io, dvi, hdmi, display port, 424m, 292m, hardware development, system integration, requirement management tools eg, doors","teamwork, communication, willingness to learn, analytical thinking, interdisciplinary collaboration","cockpit indicator and control systems design, systemlevel testing, integration, field support on air platforms","avionic system architectures, military standards milstd810, milstd461, civil standards do160, do254, fixedwing and rotarywing aircraft",
"future challengers project engineer production, quality assurance, itai systems managements","about the job
as arçeliklg klima san ve tic aş family, we are looking for a project engineer who will work in production, quality assurance, itai systems management teams
in this position, we want to accompany you on the first stop of your career journey and be your mutual development partner in your professional business life 
in order for us to accompany you on this journey
 you must be a university senior  newly graduate  graduate student,
 you must have a good command of english,
 for a sustainable future, you must have an inclusive perspective that loves nature and embraces diversity,
 you should always keep your innovative perspective, technology and research at the center,
 you have to give us 5 days a week,
 you must be studying or doing your masters degree in information technology, computer science, mathematical engineering, metallurgy and materials engineering, industrial engineering, mechanical engineering or a related field departments of universities

keep our location is gebze, kocaeli in mind before applying 
if you are interested in
 production engineering departments
 quality assurance departments
 itai systems departments
what do we expect from you
 manage and improve production processes through project management,
 oversee quality assurance processes and ensure successful project outcomes,
 contribute to projects related to it  ai system management,
 collaborate with multidisciplinary teams to ensure projects are completed on time and in line with goals
if we accompany you on this journey
 you will take the first step in your career in a wellestablished and innovative company where different cultures coexist,
 you will find yourself in projects where we take your interests and skills into consideration and believe that they will take you one step further,
 by experiencing a real working environment, you will be more confident about what you want next,
 you learn that being a team, learning from each other, is the most valuable thing you can gain throughout your journey,
 with your ideas, you can create projects that will shape the future",bachelor,intern,"project management, production process management, quality assurance, it systems, ai systems","teamwork, collaboration, innovative thinking, sustainability awareness, communication","production optimization, quality assurance improvements, itai system projects","manufacturing, quality assurance, it systems, ai system management",
buried software engineer,"about the job
 graduated from the department of electricalelectronics or computer engineering of universities, preferably,
 advanced knowledge in c and c  programming languages,
 with c and c  on micro auditors, at least 5 years of embedded software development experience,
 knowing about real time operating systems,
 with advanced technical english reading and writing competence,
 analytical thinking, problem solving, has the ability to produce new ideas,
 prone to teamwork,
 he completed his military service for male candidates
having knowledgeexperience on the following subjects is the reason for preference,
 digital signal processing and code development on dsps,
 acoustic signal processing,
 buried linux application and driver coding,
 working with d178bc standard,
 bootloader, startup code development,
 configuring the operating system,
ai algorithms,
 voip, h323, sip and so on communication protocols,
 nxp imx6, nxp imx8, stm32 arm cortexm3 and arm cortexm4 series processors
job description
we are looking for a team mate to work in avionics and defense projects to be assigned at the r  d center in bilkent cyberpark",bachelor,senior,"c, c, embedded systems, rtos, dsp, acoustic signal processing, embedded linux, bootloader, startup code, ai algorithms, voip, h323, sip, nxp imx68, stm32, arm cortexm3m4","analytical thinking, problem solving, teamwork","embedded software development for avionics and defense projects, driver and application development, realtime systems, communication protocols, ai implementation","embedded systems, avionics, defense, signal processing, communication protocols",
aigovernance consultant,"about the job
job description
do you want to play a crucial role in shaping a future in which artificial intelligence ai is used in a responsible manner for society then the rijks ict gilde rig is looking for you are you an experienced professional with a passion for ethics and compliance, and do you want to work for an internal advisory body within the central government as an ai government consultant at the rig you work on technologyrelated issues within the central government that you develop with your expertise into ethically responsible processes
as an aigovernance consultant you advise our organization and clients on the ethical aspects of the use of ai technology you identify potential ethical risks and challenges in the use of ai, develop policy and guidelines for responsible use of ai and help organizations find a balance between the benefits and risks of ai applications
you ensure that the central government is and remains compliant in your role you are responsible for compliance with the applicable laws and regulations within ai you focus on themes such as privacy, transparency, bias and responsibility, and test ai applications against legal and ethical frameworks in addition, you bring different expertise together to advise professionals project leaders, designers, engineers, data teams on privacybydesign, archivingbydesign and ethicsubdesign you know how to translate legal and ethical frameworks to concrete design decisions sharing information about best practicals and instruments within your field such as moral deliberation, impact analyzes and standards frameworks and the support of implementation within organizations gives you energy you are seen as a source of information and you know how to include others in this complex matter
which activities can you expect with this challenge
you support the design of ai governance and assist with the implementation of new regulations and ai policy
you facilitate the ethical committee
you are involved in performing a production readiness assessment and a preaudit screening on an algorithm from a legalethical perspective
you support in setting up an algoritere register
you make an inventory and risk classification of algorithms in addition, you advise the board or the management on the legal and ethical risks of specific algorithms
job requirements
you have gained a lot of experience in the meantime and you like a challenge integrity is of paramount importance to you and you treat confidential data discreetly
employment conditions
salary level
scale 11
monthly salary
minus  4024  max  6110",bachelor,senior,"ai governance, privacybydesign, ethicsbydesign, algorithm auditing, risk assessment, compliance with ai regulations, impact analysis tools","integrity, discretion, communication, advisory skills, critical thinking, facilitation, collaboration","ai policy development, ethical ai framework implementation, algorithmic impact assessments, facilitating ethics committees, setting up algorithm registers","ai governance, public sector compliance, privacy law, data ethics, bias and fairness in ai, transparency, accountability, eu ai act",
"inside sales engineer, measurement solutions","about the job
job description
job summary
this is a proposal engineering role, responsible to handle queries and assists customers by identifying the best solution for their application based on measurement solutions product portfolio prepare offers and sells complete product solutions provides commercial and technical support to customers always aims to provide the highest standards of customer service in accordance with the think customer principles works with peers, outside sales, service engineers, product managers, business managers, etc
in this role, your responsibilities will be
qualify customer requests for quotation to ensure that a quote will meet the customers application and operational needs by making prequalifications
prepare customer quotations that are on time, technically accurate, commercially verified, offering the best allround solution
answer customer questions
maintain accurate and complete records in crm
negotiate sales orders within agreed delegation of authority
ensure that purchase orders are commercially complete and accurate before processing for order entry in accordance with relevant procedures
provide advice on technical solutions and benefits
communicate with manufacturing locations for queries regarding leadtime, specials, etc
followup on quotations with customers as agreed with outside sales
provide aftersales service to customers
attend customer meetings as required, including customer site visits
ensure activities are carried out in line with agreed departmental kpis
attend relevant technical and commercial trainings as required to maintain a high level of product and process knowledge, including new products as and when released
comply with local and international emerson trade compliance and quality management procedures, as well as the emerson ethics policy, with respect to all business activities
who you are
you readily action new challenges without unnecessary planning, identify and seize new opportunities and stay aligned with your goals and stay productive you keep in touch with customers, build the customer relationships, gain insight into customer needs, identify opportunities that benefit the customer and build and deliver solutions that meet customer expectations you set objectives to align with broader organizational goals, break down objectives into appropriate initiatives and actions, stage activities with relevant milestones and schedules and anticipate and adjust effective contingency plans
for this role, you will need
engineering bachelor degree or equivalent in a relevant engineering field
minimum of 35 years relevant work experience in process measurement industry
fluent english language skills verbal, reading and writing
preferred qualifications that set you apart
mechanical, metallurgical, chemical, mechatronics, electricelectronic engineering field is preferred
any other european language skills are beneficial
3 years of experience in related area
our culture  commitment to you
at emerson, we prioritize a workplace where every employee is valued, respected, and empowered to grow we develop an environment that encourages innovation, collaboration, and diverse perspectivesbecause we know that great ideas come from great teams our commitment to ongoing career development and growing an inclusive culture ensures you have the support to thrive whether through mentorship, training, or leadership opportunities, we invest in your success so you can make a lasting impact we believe diverse teams, working together are key to driving growth and delivering business results
we recognize the importance of employee wellbeing we prioritize providing flexible, competitive benefits plans to meet you and your familys physical, mental, financial, and social needs we provide a variety of medical insurance plans, employee assistance program, employee resource groups, recognition, and much more our culture offers flexible time off plans, including paid parental leave maternal and paternal, vacation and holiday leave",bachelor,midlevel,"process measurement, crm, proposal engineering, product solution sales, technical support, mechanicalmetallurgicalchemicalelectronics engineering knowledge, leadtime and quotation management, emerson trade compliance","customer communication, relationship building, planning, negotiation, adaptability, teamwork, proactive problem solving, ethics, attention to detail","quotation preparation, prequalification processes, customer visits, order processing, sales negotiation, technical and commercial trainings, aftersales support","process measurement industry, engineering sales, instrumentation, industrial automation",
blockchain researcher,"about the job
we are hiring for one of our ecosystem projects the company is a web3 venture capital firm that focuses on earlystage, primary market investments they identify and invest in the next generation of visionary founders accelerating humanitys progress through technological and financial innovation
they run a barbell strategy based on the first principles of this nascent market, aim at being the first cheque in a round, and provide the necessary postinvestment support to scale their businesses through the process, they build an ecosystem formed by a web of highquality projects that could have synergies among themselves and have a network effect for them to separate them from other competitors
we are looking for a blockchain researcher to join their team you will play a crucial role in exploring and analyzing the latest advancements in blockchain technologies and their potential applications your research efforts will contribute to the development of innovative solutions and strategies for our company
if you have experience in driving technical research in web3, come and join our team
in this role, you will
conduct indepth research on web3 technologies, different web3 projects and related emerging trends, with research topics including but not limited to consensus algorithms, l2 designs, protocolside infrastructure for blockspace markets, fee markets and blockchain resource pricing, economic models of user demand and for privacy, contract theory and pricing models for order flow, incentive compatibility of cryptoeconomic mechanisms etc
ordering protocols and block building primitives
stay updated with the latest developments in the web3 ecosystem
analyze and assess the feasibility, scalability, and security of various web3 technologies and protocols
collaborate with crossfunctional teams to identify and define research objectives, requirements, and milestones
design and execute experiments, simulations, and prototypes to evaluate the performance and potential use cases of web3 technologies
generate comprehensive reports, whitepapers, and technical documentation summarizing research findings, methodologies, and recommendations
contribute to the development and optimization of web3related projects, providing technical insights and guidance
provide technical expertise and support to internal teams, stakeholders, and clients on web3 concepts, technologies, and implementation strategies
assist in identifying and evaluating partnerships and collaboration opportunities within the web3 community
participate in conferences, workshops, and industry events to share research findings, network with experts, and stay at the forefront of web3 advancements
you might thrive in this role if you have
bachelor in computer science, engineering, physics, mathematics, economics, or a related field a phd is a plus knowledge about game theory is a plus
a strong understanding of blockchain technologies and distributed protocol design, including blockchain, smart contracts, decentralized storage, and distributed consensus algorithms particularly, a demonstrable ability to identify the tradeoffs faced by protocols when deployed on blockchains
steep learning curve to catch up the most updated development in the space
basic understanding of topics such as singleslot finality, preconfirmations, execution tickets, ethereum scaling in view of i state growth, ii history growth, iii state access, and iv the gas limit, etc
proficiency in programming languages commonly used in the space, such as solidity, rust, or javascript
excellent analytical and problemsolving skills, with the ability to evaluate and interpret complex technical concepts and research papers
strong written and verbal communication skills, with the ability to present technical information in a clear and concise manner
familiarity with popular blockchain platforms and related tooling
ability to work effectively both independently and collaboratively in a fastpaced, dynamic environment
passion for blockchain technology, decentralized systems, and the vision of web3",,,,,,,
blockchain architect,"about the job
as roof stacks, we have been carrying out innovative projects since 2015 we aim to become a global actor in tourism systems, extended realityarvr, blockchain technologies, game development, and financial technology, which are our areas of expertise
we focus on creating a difference with the technologies we develop and designing the future in addition to our central office in ataşehiristanbul, we have branches in antalya and elazığ in turkey we have strengthened our position in the global market by opening a new office in austin, usa, which hosts world technology giants from all over the world
job requirements
at least 10 years of professional software development
expertise in solidity programming
experience with development tools like truffle, hardhat, or remix and testing frameworks
strong programming skills in nodejs
experience with postgresql, mongodb, redis
experience with rabbitmq
knowledge of erc20, erc721, erc1155 and other protocols
experience with web3jsethersjs libraries
key responsibilities
design, develop, and deploy smart contracts on evm based networks
collaborate with other team members to ensure seamless integration of smart contracts with frontend and backend components
conduct code reviews and provide constructive feedback to improve the overall quality of the codebase",,,,,,,
saas growth hacker,"about the job
saas growth hacker at techsales
 are you ready to join our team at techsales and drive exponential growth in the b2b saas industry as a saas growth hacker, you will be at the forefront of innovation and creativity, leveraging cuttingedge strategies to accelerate our companys growth in the market if youre passionate about pioneering new frontiers in saas growth, read on to join our vibrant team at techsales
requirements
proven experience as a saas growth hacker or in a similar role
demonstrable ability to drive customer acquisition and revenue growth
proficiency in marketing automation tools and analytics platforms
understanding of seosem, social media, and content marketing strategies
strong analytical skills and datadriven thinking
responsibilities
develop and implement growth strategies aligned with company objectives
optimize the customer journey, from acquisition to conversion
utilize datadriven insights to identify growth opportunities
experiment with new tactics and channels for customer acquisition
collaborate with crossfunctional teams to drive growth initiatives
qualifications
bachelors degree in marketing, business, or a related field
proven track record of driving growth in a saas or tech environment
excellent communication and interpersonal skills
ability to thrive in a fastpaced, dynamic work environment
passionate about staying ahead of industry trends and best practices
company culture
at techsales, we are a b2b saas growth studio dedicated to pushing the boundaries of whats possible  our team thrives on collaboration, innovation, and a relentless pursuit of excellence join our mission to disrupt the status quo, and grow with us as we revolutionize the saas industry
if you are ready to be a gamechanger in the saas space, apply now to embark on an exciting journey with techsales head over to our website at techsales to submit your application",bachelor,senior,"marketing automation tools, analytics platforms, seo, sem, social media tools, content marketing tools","communication, interpersonal skills, analytical thinking, adaptability, datadriven mindset, creativity, collaboration","customer acquisition, revenue growth strategy, marketing funnel optimization, crossfunctional team collaboration, growth experimentation","b2b saas, growth hacking, digital marketing, customer journey optimization, saas marketing strategy",
software engineer,"about the job
about us
icterra is a global software engineering company with offices in munich, london, wroclaw, istanbul and ankara we combine 30 years of software development experience with technology expertise and proven methodologies to provide innovative solutions to our customers across multiple industries globally with 200 software professionals, we have been building strategic partnerships with the worlds top it and defence companies, providing software development and test services
we are seeking software engineers who are enthusiastic about developing scalable software and advancing their skills within a collaborative team environment this role is ideal for recent graduates
qualificationsexperience
bachelors degree in computer engineer,
good team player, result oriented attitude and analytical mind
strong communicational and interpersonal skills
high energy and drive
experience with most of the following java, related technologies
working knowledge of relational databases
troubleshoot, debug, and upgrade existing systems",bachelor,new grad,"java, relational databases, debugging, troubleshooting, upgrading systems","teamwork, result orientation, analytical thinking, communication, interpersonal skills, high motivation","troubleshooting and upgrading software systems, working in collaborative team environments","software development, java applications, relational database systems",
level designer,"about the job
as roof stacks, we have been carrying out innovative projects since 2015 we aim to become a global actor in tourism systems, extended realityarvr, blockchain technologies, game development, and financial technology, which are our areas of expertise
we focus on creating a difference with the technologies we develop and designing the future in addition to our central office in ataşehiristanbul, we have branches in antalya and elazığ in turkey
we have strengthened our position in the global market by opening a new office in austin, usa, which hosts world technology giants from all over the world
about the position
we are looking for a junior level designer for our goart application to join our team as a level designer, your primary responsibility will be to design fun and engaging levels that enhance the user experience within the unity game engine, featuring both historical content and futuristic concept environments
responsibilities
work with 3d artists, tech artists, and game developers to create both historical and futuristic levels using the necessary assets
develop levels that are optimized for mobile devices
design levels that attract user attention using game mechanics, obstacles, puzzles, sounds, vfx, and interactive elements
make necessary revisions to levels based on feedback
requirements
minimum of 1 year of experience as a level designer
proficient in using game engines unity or unreal engine
knowledgeable about modern game design and technologies, and passionate about gaming
familiarity with game design principles, mechanics, and player psychology
ability to showcase work on a 2d3d platformer game in your portfolio mobile, pc
ability to work effectively within an interdisciplinary team and possess strong communication skills
creative problemsolving skills
ability to handle multiple tasks efficiently within time constraints
bonus
ability to create level sketches
proficiency with git or similar vcs tools
having an artistic eyeperception, with knowledge in color theory, lighting, vfx, and sfx",,junior,"unity, unreal engine, git, vcs tools, mobile optimization, vfx, sfx, lighting, color theory","teamwork, communication, creativity, time management, problemsolving","level design for mobile or pc platformer games, designing engaging and optimized levels, collaborative work with artists and developers","game development, level design, game mechanics, player psychology",
senior net software development specialist,"about the job
would you like to take part in a team that works with the culture of agility, creativity, innovation, efficiency and continuous development then its time to get ahead 10 with the logo be a part of this exciting team
what features do we seek in our new colleague
computer engineering, software engineering, etc of universities graduated from departments,
net has 45 years of software development experience with net core technologies,
engineering skills, oop, software architectures dominated by the subjects,
web apirest api, experienced in web services development and integrations,
having good sql information and preferably experience in nosql databases,
information and practical owner about source control tools go, tfs, svn,
it has a high awareness, dynamic and result oriented structure,
prone to agile working principle,
he adopted a customer oriented approach to teamwork and loves to think and research analytical
if you think its someone, we invite you to be ahead of 1  0 with the logo
what do we expect in the position of senior net software development specialist
taking part in software applications and services that work with erp products,
to improve integration architecture and solutions,
to produce quality code outputs in accordance with logo software technical standards,
to develop efficient solutions according to the problems encountered and new situations
if the requirements of this role are suitable for you, click on the advertisement, start coding
what do we offer you
flexible working hours to ensure your worklife balance
logo academy supporting professional and career development
working program working for business or private life problems
career opportunities for those who want to gain new professional skills
employee side rights that we focus on being developed day by day
the wellbeing program we prepared for the well being of the employees
birthday leave you can use during the month you were born
who are we
as logo software, turkeys largest public software and the largest domestic business software company we offer domestic business software solutions to many businesses from micro businesses to large enterprises
with more than 1,600 employees and more than 1,000 business partners in 4 different countries, 11 locations, we become partners in the growth story of our customers in more than 60 countries
our mission
we believe in the importance of cooperation, we create value with passion and agility we emphasize the importance of cooperation with its understanding and ensure that our employees put their potential with a strong team work
our understanding of diversity and inclusion
we strive to create an inclusive corporate culture, and we believe that our employees will be more productive in an environment where their selves are not restricted
we advocate equality in the workplace in order to be responsible to the world and to contribute to sustainable development
our innovative structure
while focusing on teamwork and customer needs, we use the logo agile process improvement system  lapis, which is constantly improving itself, adapting to innovations, inspired by agile methodologies and simple production philosophy",bachelor,senior,"net, net core, oop, web api, rest api, sql, nosql, source control git, tfs, svn","teamwork, customeroriented thinking, analytical thinking, adaptability, problemsolving, resultoriented","erp software development, api integrations, maintaining code quality standards, agile project participation","business software, erp systems, software architecture, integration architecture",
aosp developer,"about the job
job description
our customer develops endtoend payment platform from payment terminal to backend servers they provide innovative payment solutions involving very modern technology and design for needs of banks, fintechs and retailers they are expert on solutions for cashless payment transactions that the bankingfinancial sector needs, such as contactless  contact credit cards and payment terminals the lineup of products covers all solutions from hardware to software, including operating system of a terminal, emv schemes, banking  payment applications, security  cryptography and backend servers for payment platform
as an aosp developer, you will be responsible for
develop and customize linux based android services and embedded services
design, develop, and maintain system software for android open source project aosp
implement optimizations to improve system performance and user experience
board support package bsp porting
bsp design and maintenance
collaborate with crossfunctional teams to define system requirements and specifications
debug and troubleshoot systemlevel issues using advanced debugging tools
document software design, development processes, and test procedures
qualifications
bachelors degree in computer science, software engineering, or a related field
proficiency in c programming
experience with linux kernel device drivers
experience with aosp development with android board support package bsp and embedded systems development
strong understanding of system debugging techniques and tools
excellent problemsolving skills
how to become successful our customer
be aware of algorithm performance metrics,
stop using fixed bug as a commit message,
beware of software testing and appreciate it,
stop saying it works on my machine and learn what containers are love them, care them they are the future
about the work environment
they are working within an agile environment, which means the candidate should adapt to changing situations eg using frenchpress when the coffee machine is broken
they do not care about the numbers of hours you work keep your word this is what they value
flat organization respect knowhow, experience, positive attitude, but not the hiearchy alone
what is offered
usd based competitive salary
yearly performance bonus
competitive benefit package
flexible working model after the orientation program
training and development opportunities
flexible vacation period including the first year starting from your first day
5 bonus vacation days to your legal annual leave rights
no unnecessary hierarchy, flat organization",bachelor,senior,"c, aosp, android bsp, linux kernel device drivers, embedded systems, debugging tools","problemsolving, adaptability, team collaboration, appreciation for testing, agile mindset, ownership","aosp customization, bsp porting and maintenance, embedded service development, system optimization, debugging systemlevel issues","payment systems, embedded android systems, contactless payment technologies, fintech solutions",
